,Solar_DE,Wind_DE,Solar_FR,Wind_FR,Wind_SE
2016,6.28,12.95,1.79,4.36,11.41
2017,6.58,16.82,1.97,5.11,12.38
2018,7.54,17.53,2.25,5.79,12.38
