,Solar_DE,Wind_DE,Solar_FR,Wind_FR,Wind_SE
2016,0.93,0.85,0.95,0.95,0.97
2017,0.92,0.8,0.91,1.01,0.95
2018,0.98,0.86,1.01,0.97,0.96
